Suburb,Rooms,Type,Method,SellerG,Distance,Postcode,Bedroom,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Latitude,Longtitude,Regionname,Propertycount,ParkingArea,Price,year_list,month_list
Wollert,4,h,SP,hockingstuart,12,3750,4,2,2,448,155,2011,Whittlesea City Council,-37.61944,145.01243,Northern Metropolitan,2940,Carport,530000,2017,7
Brighton,3,h,S,Marshall,10.5,3186,3,1,3,287,110,1910,Bayside City Council,-37.88879,144.99833,Southern Metropolitan,10579,Carport,1342000,2017,9
Hampton East,2,u,S,Buxton,13.8,3188,2.4,1.2,1,155.6,93,1981.8,Bayside City Council,-37.752098,144.969894,Southern Metropolitan,2356,Attached Garage,532500,2017,5
Coburg,2,u,SP,Jellis,6.7,3058,2,1,1,412.4,59.4,1983,Darebin City Council,-37.74631,144.96347,Northern Metropolitan,11204,Detached Garage,421200,2017,6
Hawthorn,3,h,S,Marshall,5.3,3122,3,1,1,185,146.81928,1947.4,Boroondara City Council,-37.81839,145.03938,Southern Metropolitan,11308,Carport,1290000,2017,9
Richmond,2,h,S,Biggin,2.6,3121,2,1,2,200,90,1900,Yarra City Council,-37.8294,145.0029,Northern Metropolitan,14949,Attached Garage,1045000,2016,9
Burwood East,3,h,VB,Rounds,14.7,3151,3,2,2,680,167.4,1980.8,Whitehorse City Council,-37.85595,145.14235,Eastern Metropolitan,4048,Carport,1250000,2018,10
Boronia,3,h,S,Schroeder,25,3155,3,1,1,730,100,1969,Knox City Council,-37.84889,145.29539,Eastern Metropolitan,9704,Indoor,629000,2018,6
Caulfield South,3,h,S,Gary,8.7,3162,3,2,2,436,132,1940,Glen Eira City Council,-37.90116,145.02431,Southern Metropolitan,5051,Parking Pad,1352000,2017,9
Maribyrnong,5,h,SP,hockingstuart,4.3,3032,5,2,2,482.4,180,1966.2,Maribyrnong City Council,-37.78737,144.89999,Western Metropolitan,4918,Carport,1330000,2017,10
Malvern East,3,t,PI,Barry,11.2,3145,3,2,1,206,148,1959,Stonnington City Council,-37.8826,145.0868,Southern Metropolitan,8801,Detached Garage,940000,2016,8
Melton West,4,h,S,hockingstuart,8,3337,4,2,2,601,173,2012,Melton City Council,-37.66513,144.55075,Northern Victoria,6065,Carport,530000,2017,10
Altona North,2,h,PI,RT,11.1,3025,1.8,1.2,1.2,14.8,90.6,1973.4,Hobsons Bay City Council,-37.824816,145.004598,Western Metropolitan,5132,Attached Garage,450000,2016,6
Richmond,3,h,S,Biggin,2.4,3121,3,1.4,1.4,531.4,108.4,1926.4,Yarra City Council,-37.84252,145.060718,Northern Metropolitan,14949,Carport,1310000,2017,1
Preston,3,h,S,hockingstuart,8.8,3072,3,1,0,148,150,1950,Darebin City Council,-37.7428,145.0081,Northern Metropolitan,14577,Detached Garage,751000,2016,3
Sunshine North,3,h,S,Bells,10.5,3020,3,1,3,585,140,1978,Brimbank City Council,-37.77467,144.8349,Western Metropolitan,4217,Underground,830000,2018,2
Mentone,3,h,S,Buxton,20,3194,3,2,2,250.6,124,1960,Kingston City Council,-37.98051,145.09044,South-Eastern Metropolitan,6162,Detached Garage,980000,2017,8
Fitzroy,3,h,S,Nelson,2.1,3065,3,2,2,136,169.2,1948.8,Yarra City Council,-37.79726,144.98113,Northern Metropolitan,5825,Indoor,1595000,2018,3
West Melbourne,1,u,S,Nelson,1.9,3003,1,1,1,0,207,1930,Melbourne City Council,-37.8076,144.9456,Northern Metropolitan,2230,Attached Garage,550000,2016,7
Watsonia,3,h,S,Ray,14.9,3087,3,1,1,355,111,1966,Banyule City Council,-37.7065,145.0825,Northern Metropolitan,2329,Detached Garage,645000,2016,8
Keilor East,4,h,S,Nelson,11.7,3033,4,2,2,534,211,1970,Brimbank City Council,-37.74514,144.87313,Western Metropolitan,5629,Indoor,1250000,2017,8
Werribee,3,h,SP,Sweeney,14.7,3030,3,2,0,530,144,1992,Wyndham City Council,-37.8917,144.63972,Western Metropolitan,16166,Parking Pad,490000,2017,10
Craigieburn,3,h,S,Ray,20.6,3064,3,2,1,574,130,2001,Hume City Council,-37.58972,144.93601,Northern Metropolitan,15510,Detached Garage,540000,2018,3
Kingsville,4,h,S,Sweeney,7.8,3012,4,2,1,276,156.8,1948,Maribyrnong City Council,-37.8039,144.8849,Western Metropolitan,1808,Carport,925000,2016,11
Brunswick East,2,u,S,Jellis,4.5,3057,2,1,1,0,77,1980.4,Moreland City Council,-37.7685,144.9724,Northern Metropolitan,5533,Parkade,445000,2016,6
Yarraville,3,h,S,Jas,6.3,3013,3,1,2,451,126.4,1959.2,Maribyrnong City Council,-37.81796,144.8681,Western Metropolitan,6543,Indoor,1005000,2017,7
Southbank,3,u,VB,VICPROP,1.2,3006,3,2,1,0,112,1996,Melbourne City Council,-37.8273,144.9685,Southern Metropolitan,8400,Detached Garage,720000,2016,7
Brunswick West,2,t,PI,Jellis,5.2,3055,2,1,1,441.4,75,2009,Moreland City Council,-37.76595,144.94381,Northern Metropolitan,7082,Carport,580000,2017,8
Footscray,3,t,S,Jas,6.4,3011,3,2,2,164,137.8,2008,Maribyrnong City Council,-37.7948,144.8868,Western Metropolitan,7570,Carport,714000,2016,10
Prahran,1,u,S,Biggin,4.5,3181,1,1,1,0,64,1945,Stonnington City Council,-37.857,145.0027,Southern Metropolitan,7717,Detached Garage,500500,2017,4
St Kilda,2,u,PI,Wilson,5,3182,2.8,1.6,1.4,257.2,99.6,1958.4,Port Phillip City Council,-37.728592,144.877374,Southern Metropolitan,13240,Attached Garage,700000,2018,3
Kensington,3,t,SP,Nelson,4.2,3031,3,2,1,788,127.4,1998,Melbourne City Council,-37.7938,144.9186,Northern Metropolitan,5263,Carport,918000,2016,8
Brunswick,2,h,S,Nelson,5.2,3056,2,1,0,241,113,1910,Moreland City Council,-37.76392,144.9662,Northern Metropolitan,11918,Parking Pad,970000,2018,6
Heidelberg Heights,2,h,S,Barry,10.5,3081,2,1,3,932,97,1950,Banyule City Council,-37.7333,145.0588,Eastern Metropolitan,2947,Indoor,920000,2016,5
St Kilda,2,u,SP,Biggin,6.1,3182,3,1.4,1.4,395.8,114.8,1964,Port Phillip City Council,-37.789228,144.914538,Southern Metropolitan,13240,Detached Garage,695000,2016,3
Bentleigh East,4,t,S,Buxton,13.8,3165,3.6,2,1.6,465,161.8,1955.4,Glen Eira City Council,-37.830736,145.052,Southern Metropolitan,10969,Carport,1320000,2017,10
Fairfield,3,h,S,McGrath,5.8,3078,3,1,3,590,158,1960.4,Darebin City Council,-37.7673,145.021,Northern Metropolitan,2970,Parking Pad,1145000,2016,8
Wallan,3,h,SP,Barry,15.28,3756,3,2,2,683,146,1990,Mitchell Shire Council,-37.41953,144.98206,Northern Victoria,3988,Attached Garage,430000,2018,1
Sunbury,3,h,S,Raine,9.4,3429,3,2,1,1058,81.8,1947.6,Hume City Council,-37.57858,144.72349,Western Metropolitan,14092,Carport,778000,2017,9
South Yarra,2,u,S,Jellis,3.3,3141,2.4,1.2,1,332.6,135.6,1980.6,Melbourne City Council,-37.770162,144.91909,Southern Metropolitan,14887,Parking Pad,531000,2016,3
Glenroy,3,h,S,Eview,13,3046,3,1.8,1.8,248.6,124,1993,Moreland City Council,-37.792886,144.995388,Northern Metropolitan,8870,Detached Garage,607000,2016,8
Carnegie,2,u,PI,Ray,10.1,3163,2,1,2,158,108.8,1970,Glen Eira City Council,-37.89267,145.05474,Southern Metropolitan,7822,Underground,620000,2017,3
Watsonia,2,h,S,Buckingham,14.9,3087,2,1,2,605,114,1960,Banyule City Council,-37.7118,145.088,Northern Metropolitan,2329,Detached Garage,662000,2016,7
Brunswick West,2,h,S,Nelson,5.2,3055,2,1,1,233,136.2,1985.2,Moreland City Council,-37.7661,144.94621,Northern Metropolitan,7082,Carport,1051000,2018,3
Malvern,3,u,PI,RT,5.9,3144,3,1.8,1.6,708.8,254.6,1972.2,Stonnington City Council,-37.871222,145.040426,Southern Metropolitan,4675,Attached Garage,2000000,2018,2
Croydon North,3,h,S,Noel,23,3136,3,2,2,415,260,1993,Maroondah City Council,-37.76519,145.27824,Eastern Metropolitan,2985,Detached Garage,965000,2017,10
Newport,2,h,S,RT,8.4,3015,2,1,1,315,104,1930,Hobsons Bay City Council,-37.8465,144.8714,Western Metropolitan,5498,Carport,816000,2016,11
Sunshine North,3,h,SA,FN,10.5,3020,3,1,2,690,134,1974.6,Brimbank City Council,-37.77176,144.84062,Western Metropolitan,4217,Detached Garage,780000,2017,1
Collingwood,2,u,S,Jellis,1.6,3066,2,1,1,0,129,1900,Yarra City Council,-37.8042,144.9845,Northern Metropolitan,4553,Detached Garage,1260000,2016,3
Ascot Vale,4,h,S,Nelson,4.3,3032,4,1,2,343,157.6,1941.6,Moonee Valley City Council,-37.77271,144.90959,Western Metropolitan,6567,Indoor,1341000,2018,2
St Albans,3,h,S,Ray,14,3021,3,1,2,743,197.4,2001,Brimbank City Council,-37.73615,144.81445,Western Metropolitan,14042,Detached Garage,711100,2017,8
Reservoir,3,t,SA,Nelson,11.2,3073,3.2,1.4,1.8,582.4,141.6,1969.4,Darebin City Council,-37.702974,145.003442,Northern Metropolitan,21650,Parkade,770000,2016,4
Balaclava,2,u,SP,hockingstuart,6.4,3183,2.8,1.2,1,342.4,102.8,1986.2,Port Phillip City Council,-37.835972,144.929682,Southern Metropolitan,2952,Parking Pad,495000,2017,9
Strathmore Heights,4,h,S,Considine,12.5,3041,3,2,1.8,556,189.8,2005.6,Moonee Valley City Council,-37.715,144.8966,Western Metropolitan,389,Attached Garage,800000,2016,6
Gowanbrae,3,h,S,Nelson,12.9,3043,3,2,2,371,176,2014,Moreland City Council,-37.70212,144.90104,Western Metropolitan,1071,Attached Garage,790000,2018,6
Kew,3,u,S,Dingle,5.4,3101,3,1.8,1.6,310,154.2,1950.4,Boroondara City Council,-37.792402,145.010022,Southern Metropolitan,10331,Attached Garage,982500,2017,9
Mooroolbark,5,h,SP,Max,7.38,3138,5,2,2,1254,186.75,1980,Yarra Ranges Shire Council,-37.79026,145.33738,Eastern Victoria,8280,Carport,872000,2017,3
Bonbeach,2,t,S,Property,12.84,3196,2.6,1.2,1,476.6,115.2,1990.6,Kingston City Council,-37.788226,145.021052,South-Eastern Metropolitan,2887,Attached Garage,575000,2017,9
Thomastown,3,h,S,HAR,15.3,3074,3,1,1,585,122.2,1990,Whittlesea City Council,-37.67681,145.00323,Northern Metropolitan,7955,Underground,590500,2017,7
Yarraville,2,h,S,hockingstuart,7,3013,2,1,0,166,124.2,1920,Maribyrnong City Council,-37.8209,144.8913,Western Metropolitan,6543,Attached Garage,890000,2016,4
Rosanna,2,h,S,Barry,11.4,3084,2.8,1.6,1.8,527.8,133.4,1969.2,Banyule City Council,-37.782128,144.87881,Eastern Metropolitan,3540,Parkade,810000,2016,8
Croydon,4,h,PI,Ray,23,3136,4,2,2,395.8,135.4,1945.6,Maroondah City Council,-37.80987,145.28647,Eastern Metropolitan,11925,Carport,825000,2018,10
Glen Iris,3,h,S,hockingstuart,7.3,3146,3,1,1,650,147.66,1938.6,Boroondara City Council,-37.857,145.0767,Southern Metropolitan,10412,Underground,1900000,2017,11
Hawthorn,2,u,S,Jellis,4.6,3122,2,1,1,82,102.776,2001,Boroondara City Council,-37.818,145.0268,Southern Metropolitan,11308,Outdoor Stall,690000,2017,2
Glenroy,3,t,S,Stockdale,11.2,3046,2.4,1.4,1.6,448.8,117.4,1992.8,Moreland City Council,-37.74538,145.004916,Northern Metropolitan,8870,Carport,554000,2018,6
Springvale,4,h,S,Leyton,20.8,3171,3.4,1.6,1.2,344.4,123.6,1949.2,Greater Dandenong City Council,-37.831926,145.04091,South-Eastern Metropolitan,7412,Underground,1005000,2017,6
Craigieburn,4,h,S,Ray,20.6,3064,4,2,2,771,255,2006,Hume City Council,-37.57383,144.92424,Northern Metropolitan,15510,Parkade,735000,2017,9
Bentleigh East,4,h,S,Obrien,13.8,3165,4,1,2,561.8,174.8,1964.8,Glen Eira City Council,-37.92547,145.05957,Southern Metropolitan,10969,Detached Garage,1181000,2017,10
Mitcham,3,t,S,Fletchers,17.2,3132,3.4,2,1.6,593.4,88.508,1976,Whitehorse City Council,-37.901998,145.098256,Eastern Metropolitan,6871,Carport,880000,2017,12
Footscray,3,h,S,Biggin,6.4,3011,3,1,1,265,115,1910,Maribyrnong City Council,-37.7975,144.8894,Western Metropolitan,7570,Detached Garage,760000,2016,12
South Melbourne,2,h,VB,Greg,2.1,3205,2,1,2,185,148.4,1980.4,Port Phillip City Council,-37.8337,144.9507,Southern Metropolitan,5943,Outdoor Stall,1100000,2016,9
Hoppers Crossing,5,h,SA,hockingstuart,18.4,3029,5,2,2,650,163.6,1974.6,Wyndham City Council,-37.85638,144.70671,Western Metropolitan,13830,Attached Garage,610000,2017,3
Seddon,3,h,S,Jas,6.6,3011,2,1,2,217,146.4,1962.6,Maribyrnong City Council,-37.8075,144.8909,Western Metropolitan,2417,Detached Garage,881000,2016,6
Brighton,3,h,S,Marshall,11.2,3186,3,0,0,0,163.2,1940.6,Bayside City Council,-37.9301,144.9935,Southern Metropolitan,10579,Carport,1900000,2016,6
Warrandyte,4,h,S,Fletchers,21.1,3113,4,2,2,593.8,179.2,1982.4,Manningham City Council,-37.74113,145.22309,Eastern Metropolitan,2003,Carport,1050000,2017,5
Bentleigh,3,t,SP,Ray,11.4,3204,3,2,2,232.2,119,1944.2,Glen Eira City Council,-37.9299,145.0487,Southern Metropolitan,6795,Carport,1220000,2017,11
Mulgrave,3,h,S,Ray,18.8,3170,3.8,1.6,1.6,856.2,128.6,1966,Monash City Council,-37.88243,145.1656,South-Eastern Metropolitan,7113,Indoor,960000,2017,3
Brunswick,2,u,PI,Walshe,5.2,3056,1.6,1,1,20.6,68.8,1986.4,Moreland City Council,-37.816814,144.993146,Northern Metropolitan,11918,Detached Garage,430000,2016,8
Kensington,2,t,S,Nelson,3.4,3031,2,1,1,298.2,131.8,1998,Melbourne City Council,-37.79101,144.92328,Northern Metropolitan,5263,Attached Garage,865000,2017,8
Brunswick,3,h,SP,Nelson,5.2,3056,3,1,1.4,185,88,1890,Moreland City Council,-37.76093,144.95896,Northern Metropolitan,11918,Indoor,915000,2018,3
Maidstone,3,t,SP,Jas,6.4,3012,3,2,2,159,128,2016,Maribyrnong City Council,-37.78502,144.86733,Western Metropolitan,3873,Parkade,670000,2017,7
Pascoe Vale,3,h,VB,Nelson,9.9,3044,3,2,1,266,105,1982.8,Moreland City Council,-37.7271,144.9485,Northern Metropolitan,7485,Carport,650000,2016,8
Hawthorn,1,u,VB,Jellis,5.3,3122,2.4,1,1.2,262.8,116.4,1995.6,Boroondara City Council,-37.760622,145.014884,Southern Metropolitan,11308,Detached Garage,600000,2018,3
Port Melbourne,3,h,S,Biggin,3.8,3207,3,2,1,215,150.6,1990,Melbourne City Council,-37.8393,144.9336,Southern Metropolitan,8648,Detached Garage,1421000,2016,7
Ivanhoe,3,h,VB,Nelson,7.9,3079,3,2,2,834,169,1950,Banyule City Council,-37.7587,145.0426,Eastern Metropolitan,5549,Parkade,1275000,2016,5
Hoppers Crossing,3,h,SP,Greg,18.4,3029,3,2,2,591,119,1972,Wyndham City Council,-37.87295,144.69098,Western Metropolitan,13830,Underground,525000,2017,10
Williamstown,3,h,SP,Williams,6.8,3016,3,2,1.6,386,124,1910,Hobsons Bay City Council,-37.8544,144.8886,Western Metropolitan,6380,Underground,1350000,2017,11
Sunshine North,3,h,S,GL,10.5,3020,3,1,0,263,120.2,1988.2,Brimbank City Council,-37.76588,144.84336,Western Metropolitan,4217,Parkade,555000,2017,7
Coburg,2,t,SP,Jellis,6.7,3058,2.2,1.6,1.2,120,99.4,1995.6,Darebin City Council,-37.811196,145.019468,Northern Metropolitan,11204,Carport,630000,2017,8
Brunswick,2,u,S,Woodards,5.2,3056,2,1,1,768,111.8,1970,Moreland City Council,-37.7768,144.9512,Northern Metropolitan,11918,Detached Garage,600000,2016,8
Tullamarine,4,h,SP,Barry,12.9,3043,4,2,1,409,193,1980,Brimbank City Council,-37.69817,144.8848,Western Metropolitan,3296,Detached Garage,780000,2018,6
Kensington,1,u,VB,Edward,4.2,3031,1.2,1,1,45.6,56.6,1962.4,Melbourne City Council,-37.84862,144.98467,Northern Metropolitan,5263,Detached Garage,310000,2016,9
Brunswick,3,h,S,Ray,5.2,3056,3,1,1,483,162,1890,Moreland City Council,-37.7602,144.9543,Northern Metropolitan,11918,Detached Garage,1250000,2016,5
Ripponlea,4,h,PI,Marshall,7.4,3185,4,2,3,485,174.4,1924,Port Phillip City Council,-37.8754,144.9944,Southern Metropolitan,821,Indoor,1925000,2016,11
Dandenong,2,u,S,Stockdale,24.7,3175,1.2,1,0.8,122.4,52.8,1976.6,Greater Dandenong City Council,-37.845964,145.056148,South-Eastern Metropolitan,10894,Attached Garage,334000,2017,11
Elwood,2,u,S,hockingstuart,7.7,3184,2,1,1,539,139.6,1970,Port Phillip City Council,-37.8716,144.9869,Southern Metropolitan,8989,Carport,686000,2016,4
Brighton,2,t,S,RT,11.2,3186,2,2,1,267,151.2,1934.4,Bayside City Council,-37.9159,144.9933,Southern Metropolitan,10579,Parkade,1400000,2016,8
Melbourne,2,u,SP,Beller,0,3000,3.2,1.8,1.6,478.4,136,2002.6,Melbourne City Council,-37.9827,144.94716,Northern Metropolitan,17496,Detached Garage,650000,2018,3
Kingsbury,1,u,SP,Ray,12.1,3083,1.8,1,1,160.8,76.6,1992.2,Darebin City Council,-37.743914,144.837724,Northern Metropolitan,1414,Detached Garage,355000,2017,10
Windsor,4,h,PI,Marshall,5.1,3181,4,2,1,321,201.4,1947.8,Port Phillip City Council,-37.8559,144.9948,Southern Metropolitan,4380,Detached Garage,2050000,2017,4
Northcote,3,h,S,Nelson,5.5,3070,3,1,1,178,124,2000,Darebin City Council,-37.771,144.9974,Northern Metropolitan,11364,Detached Garage,1010000,2016,10
Airport West,3,h,S,Nelson,13.5,3042,3,2,1.6,612,174,1950,Moonee Valley City Council,-37.7173,144.8796,Western Metropolitan,3464,Attached Garage,1042000,2016,7
Reservoir,3,h,S,Ray,12,3073,3,2,1.8,634.4,133,1960,Darebin City Council,-37.70423,145.00315,Northern Metropolitan,21650,Parking Pad,921000,2017,10
Fitzroy North,2,h,SP,Nelson,3.5,3068,2,1,0,138,196,1958.8,Moreland City Council,-37.7904,144.9836,Northern Metropolitan,6244,Parkade,1520000,2017,5
Cheltenham,2,t,S,Ray,17.9,3192,2,1,2,359,98.5,1991,Bayside City Council,-37.96342,145.06516,Southern Metropolitan,9758,Indoor,745000,2017,3
South Yarra,1,u,SP,hockingstuart,2.7,3141,2.4,1.4,1.4,411.2,150.6,1997,Melbourne City Council,-37.805984,144.945132,Southern Metropolitan,14887,Parkade,635000,2018,3
Hampton,3,u,S,Buxton,13.8,3188,3,2,2,0,99,2005,Bayside City Council,-37.93538,145.00224,Southern Metropolitan,5454,Parkade,970000,2017,6
South Melbourne,3,u,S,RT,1.9,3205,3,2,1.6,447.2,149.6,2005.2,Port Phillip City Council,-37.7579,144.924822,Southern Metropolitan,5943,Underground,703000,2017,11
Bundoora,3,h,S,Barry,12.1,3083,3,2,2,416.2,173.8,2010,Banyule City Council,-37.68554,145.09172,Northern Metropolitan,10175,Outdoor Stall,1230000,2017,7
Mill Park,4,h,S,Ray,17.9,3082,2.4,1.2,1.8,447,104.5,1986.4,Whittlesea City Council,-37.79957,145.03754,Northern Metropolitan,10529,Outdoor Stall,745000,2017,6
Pascoe Vale,3,h,S,Nelson,9.9,3044,3,1,2,449,104,1950,Moreland City Council,-37.7286,144.9456,Northern Metropolitan,7485,Attached Garage,700000,2016,6
Richmond,2,u,S,hockingstuart,2.4,3121,3,1.6,1.4,499.6,112.4,1996.2,Yarra City Council,-37.639254,144.784358,Northern Metropolitan,14949,Parkade,455000,2017,9
Brunswick West,3,h,S,Woodards,5.9,3055,3,1,1,335,113,1940,Moreland City Council,-37.766,144.945,Northern Metropolitan,7082,Attached Garage,1220000,2017,5
Mernda,4,h,S,HAR,10.66,3754,4,2,2,573,245,1994.6,Whittlesea City Council,-37.60686,145.08615,Northern Metropolitan,5812,Carport,720000,2017,9
South Melbourne,4,h,S,Marshall,2.1,3205,4,3,1,200,153,1909,Port Phillip City Council,-37.836,144.965,Southern Metropolitan,5943,Detached Garage,2180000,2016,10
Maidstone,3,h,S,Nelson,9.2,3012,3,1,2,485,148.4,1958.4,Maribyrnong City Council,-37.7905,144.8812,Western Metropolitan,3873,Indoor,935000,2016,10
Doncaster,4,h,S,Ray,12.4,3108,4,2,1,670,143.8,1966.2,Manningham City Council,-37.77109,145.1338,Eastern Metropolitan,9028,Carport,1255000,2017,9
Aberfeldie,3,h,PI,Barry,9.1,3040,3,1.8,1.8,533,167.8,1968.6,Moonee Valley City Council,-37.871628,145.063274,Western Metropolitan,1543,Indoor,1175000,2016,10
Hoppers Crossing,3,h,S,Ray,18.4,3029,3,2,1,435,63.6,1984.2,Wyndham City Council,-37.86767,144.68409,Western Metropolitan,13830,Parkade,418000,2017,5
Caulfield North,2,u,SP,Gary,8.1,3161,3.2,1.6,1.4,470.8,115.4,2000.2,Glen Eira City Council,-37.733102,144.917912,Southern Metropolitan,6923,Attached Garage,535000,2016,11
Essendon,2,u,VB,Barry,7.5,3040,2,1,1,388.6,175,1975.2,Moonee Valley City Council,-37.74469,144.89363,Western Metropolitan,9264,Attached Garage,850000,2017,3
Hoppers Crossing,3,h,SP,Barry,18.4,3029,3,2,2,394.2,96.34,1962.4,Wyndham City Council,-37.85,144.6726,Western Metropolitan,13830,Attached Garage,535200,2017,11
Cheltenham,3,t,S,Buxton,17.9,3192,3,2,2,138,137,2013,Bayside City Council,-37.95656,145.06926,Southern Metropolitan,9758,Indoor,795000,2017,9
Balwyn,4,h,PI,Jellis,7.9,3103,4,2,2,434.2,180,1940,Boroondara City Council,-37.81214,145.09874,Southern Metropolitan,5682,Attached Garage,2035000,2017,9
Footscray,2,u,S,Sweeney,6.4,3011,2,1,1,0,65,1980,Maribyrnong City Council,-37.7891,144.8912,Western Metropolitan,7570,Outdoor Stall,281000,2016,10
Bentleigh East,4,t,PI,hockingstuart,13.9,3165,2.8,2,1.8,331.4,139.4,1981.6,Glen Eira City Council,-37.901134,145.091336,Southern Metropolitan,10969,Indoor,850000,2017,11
Oak Park,3,t,S,Nelson,11.5,3046,3.6,1.6,1.8,450.6,101.6,1975.4,Moreland City Council,-37.724376,144.91447,Northern Metropolitan,2651,Carport,675500,2016,9
Cheltenham,2,t,S,Buxton,17.9,3192,2,1,1,419.2,117,2002,Bayside City Council,-37.96273,145.04935,Southern Metropolitan,9758,Indoor,955000,2018,6
Glen Iris,2,u,S,hockingstuart,9.2,3146,2,1,1,0,118.4,1992.4,Boroondara City Council,-37.8572,145.0423,Southern Metropolitan,10412,Outdoor Stall,529500,2016,7
Alphington,3,h,PI,Jellis,5.7,3078,3.2,1.4,2,624.4,147,1964,Darebin City Council,-37.81909,145.007514,Northern Metropolitan,2211,Detached Garage,1305000,2017,7
Gladstone Park,4,h,SP,Raine,12.9,3043,4,2,0.8,557,133.4,1986.6,Hume City Council,-37.68187,144.88882,Western Metropolitan,3285,Parkade,615000,2018,3
West Melbourne,2,u,S,Nelson,3.1,3003,2.8,1,1.2,448.4,100.2,1966,Melbourne City Council,-37.854658,144.95403,Northern Metropolitan,2230,Detached Garage,569500,2017,7
Carlton,2,u,S,Nelson,1.8,3053,2,2,1,0,131.8,1977.2,Melbourne City Council,-37.8009,144.9642,Northern Metropolitan,6786,Carport,795000,2016,10
St Kilda,3,h,VB,The,5,3182,3.4,1.6,1.8,234.2,205,1943,Port Phillip City Council,-37.85795,144.98648,Southern Metropolitan,13240,Parkade,2100000,2017,10
Ringwood East,2,u,S,Barry,21.3,3135,2,1,2,190,70,1970,Maroondah City Council,-37.80551,145.24589,Eastern Metropolitan,4407,Parkade,609000,2017,5
Blackburn,3,h,S,Fletchers,13.4,3130,3,2,3,698,194,1945,Whitehorse City Council,-37.81231,145.1642,Eastern Metropolitan,5713,Indoor,1390000,2017,9
Fitzroy North,2,u,VB,Nelson,3.5,3068,2,1,1,191.2,73.8,2012,Moreland City Council,-37.7846,144.9785,Northern Metropolitan,6244,Attached Garage,490000,2016,11
Maribyrnong,2,u,VB,Brad,4.3,3032,3,1.6,1,304.2,102.2,1988.6,Maribyrnong City Council,-37.741826,144.96407,Western Metropolitan,4918,Underground,460000,2018,2
Reservoir,2,u,S,Barry,11.2,3073,2,1,1,139,86.4,1975,Darebin City Council,-37.7175,145,Northern Metropolitan,21650,Parkade,431000,2016,5
Elsternwick,3,h,S,Biggin,8.5,3185,3,1,1,590,185,1935.8,Glen Eira City Council,-37.8807,145.0005,Southern Metropolitan,4898,Outdoor Stall,2160000,2017,3
Richmond,2,u,S,hockingstuart,2.6,3121,2.2,1.8,1.6,138.4,118,1988.4,Yarra City Council,-37.881922,145.014446,Northern Metropolitan,14949,Detached Garage,685000,2017,5
Werribee,3,h,S,Greg,14.7,3030,3,2,1,333,130,1970,Wyndham City Council,-37.90961,144.65543,Western Metropolitan,16166,Indoor,480000,2017,9
Doncaster,4,t,S,Barry,13.9,3108,4,2,2,242,125,1969.8,Manningham City Council,-37.7915,145.1258,Eastern Metropolitan,9028,Parkade,855000,2016,3
Canterbury,2,u,S,hockingstuart,8.4,3126,3.4,1.2,1.6,642.8,140.6,1959.8,Boroondara City Council,-37.757464,145.080584,Southern Metropolitan,3265,Parkade,1374500,2017,11
Bentleigh,4,t,VB,Jellis,11.4,3204,4,1.8,3,352.4,216.4,1964.8,Glen Eira City Council,-37.9183,145.0331,Southern Metropolitan,6795,Indoor,1550000,2017,11
Spotswood,3,u,S,RT,7.7,3015,3,1,1,221,120,2003,Hobsons Bay City Council,-37.8297,144.8752,Western Metropolitan,1223,Carport,660000,2017,4
Ringwood East,3,u,S,Ray,21.3,3135,2.4,1.6,1.6,497,98.4,1981.4,Maroondah City Council,-37.781718,145.029324,Eastern Metropolitan,4407,Detached Garage,656000,2018,3
Ormond,1,u,S,Charlton,11.4,3204,1.8,1,1,217.6,42.64,1976.2,Glen Eira City Council,-37.75094,144.7497,Southern Metropolitan,3578,Indoor,284000,2017,11
Doncaster,4,h,S,Barry,12.4,3108,4,2,3,652,218,1970,Manningham City Council,-37.78145,145.13598,Eastern Metropolitan,9028,Outdoor Stall,1375000,2017,3
Hawthorn,1,u,PI,hockingstuart,5.3,3122,1,1,1,130.6,45.4,1975.8,Boroondara City Council,-37.81026,144.996476,Southern Metropolitan,11308,Carport,330000,2017,11
Ferntree Gully,3,h,S,Barry,24.8,3156,3,1,0,720,128.4,1979,Knox City Council,-37.87356,145.27515,Eastern Metropolitan,10788,Underground,770000,2017,8
Kew East,3,h,SP,Philip,7.3,3102,3,1,2,579,166.4,1953.2,Boroondara City Council,-37.7966,145.06022,Southern Metropolitan,2671,Detached Garage,1702000,2018,6
Glenroy,2,h,PI,Ray,13,3046,2,1,1,155,155,2000,Moreland City Council,-37.6972,144.9239,Northern Metropolitan,8870,Outdoor Stall,270000,2016,7
Malvern,2,u,S,Gary,5.9,3144,2,1,1,0,72.9,1977,Stonnington City Council,-37.86824,145.03504,Southern Metropolitan,4675,Attached Garage,592000,2017,3
Carnegie,3,h,S,hockingstuart,11.4,3163,2,1,2,461,144.6,1944,Glen Eira City Council,-37.8988,145.0516,Southern Metropolitan,7822,Indoor,1170000,2016,7
Reservoir,3,h,S,hockingstuart,12,3073,3,1,1,482,109,1965,Darebin City Council,-37.7197,144.99295,Northern Metropolitan,21650,Carport,755000,2017,9
Melbourne,2,u,S,Biggin,2.8,3000,3.4,1.4,1.6,537,179.98,2006.2,Melbourne City Council,-37.71751,144.812168,Northern Metropolitan,17496,Indoor,595000,2016,4
